family,Genus,species name,map_id_spp,IUCN red list category,IUCN_category_value,degree of restriction,weight_final,weight_standarized
Fabaceae,Muellera,Muellera campestris,spp 0962,Least Concern,1,42.73,42.73,0.086
Fabaceae,Muellera,Muellera montana,spp 0963,Least Concern,1,35.37,35.37,0.071
Fabaceae,Muellera,Muellera obtusa,spp 0964,Least Concern,1,87.19,87.19,0.175
Fabaceae,Muellera,Muellera sericea,spp 0965,Least Concern,1,68.07,68.07,0.136
Fabaceae,Myrocarpus,Myrocarpus fastigiatus,spp 0966,Least Concern,1,87.14,87.14,0.175
Fabaceae,Myrocarpus,Myrocarpus frondosus,spp 0967,Data Deficient,3,37.14,111.42,0.223
Fabaceae,Myrospermum,Myrospermum frutescens,spp 0969,Least Concern,1,63.92,63.92,0.128
Fabaceae,Myroxylon,Myroxylon balsamum,spp 0970,Least Concern,1,16.98,16.98,0.034
Fabaceae,Myroxylon,Myroxylon peruiferum,spp 0971,Least Concern,1,36.63,36.63,0.073
Cactaceae,Myrtillocactus,Myrtillocactus cochal,spp 0194,Least Concern,1,26.67,26.67,0.053
Cactaceae,Myrtillocactus,Myrtillocactus geometrizans,spp 0195,Least Concern,1,14.98,14.98,0.03
Cactaceae,Myrtillocactus,Myrtillocactus schenckii,spp 0196,Least Concern,1,56.32,56.32,0.113
Fabaceae,Neltuma,Neltuma affinis,spp 1035,Data Deficient,3,51.98,155.94,0.313
Fabaceae,Neltuma,Neltuma alba,spp 1036,Near Threatened,2,15.97,31.94,0.064
Fabaceae,Neltuma,Neltuma articulata,spp 1037,Least Concern,1,51.09,51.09,0.102
Fabaceae,Neltuma,Neltuma laevigata,spp 1041,Least Concern,1,24.31,24.31,0.049
Fabaceae,Neltuma,Neltuma nigra,spp 1042,Data Deficient,3,18.45,55.35,0.111
Fabaceae,Neltuma,Neltuma pallida,spp 1044,Least Concern,1,13.65,13.65,0.027
Fabaceae,Neltuma,Neltuma ruscifolia,spp 1043,Least Concern,1,92.31,92.31,0.185
Cactaceae,Nyctocereus,Nyctocereus serpentinus,spp 0248,,3,16.43,49.29,0.099
Malvaceae,Ochroma,Ochroma pyramidale,spp 0382,Least Concern,1,11.23,11.23,0.023
Cactaceae,Opuntia,Opuntia anacantha,spp 0202,Least Concern,1,41.37,41.37,0.083
Cactaceae,Opuntia,Opuntia bravoana,spp 0204,Least Concern,1,81.46,81.46,0.163
Cactaceae,Opuntia,Opuntia caracassana,spp 0205,Least Concern,1,93.31,93.31,0.187
Cactaceae,Opuntia,Opuntia decumbens,spp 0209,Least Concern,1,68.72,68.72,0.138
Cactaceae,Opuntia,Opuntia depressa,spp 0210,Least Concern,1,61.7,61.7,0.124
Cactaceae,Opuntia,Opuntia elatior,spp 0212,Least Concern,1,46.09,46.09,0.092
Cactaceae,Opuntia,Opuntia excelsa,spp 0214,Least Concern,1,98.04,98.04,0.196
Cactaceae,Opuntia,Opuntia fuliginosa,spp 0216,Least Concern,1,37.85,37.85,0.076
Cactaceae,Opuntia,Opuntia gosseliniana,spp 0217,Least Concern,1,33.98,33.98,0.068
Cactaceae,Opuntia,Opuntia monacantha,spp 0225,Least Concern,1,12.51,12.51,0.025
Cactaceae,Opuntia,Opuntia pilifera,spp 0227,Least Concern,1,50.45,50.45,0.101
Cactaceae,Opuntia,Opuntia puberula,spp 0228,Least Concern,1,67.5,67.5,0.135
Cactaceae,Opuntia,Opuntia pubescens,spp 0229,Least Concern,1,41.46,41.46,0.083
Cactaceae,Opuntia,Opuntia quitensis,spp 0231,Least Concern,1,59.12,59.12,0.118
Cactaceae,Opuntia,Opuntia stricta,spp 0235,Least Concern,1,35.15,35.15,0.07
Cactaceae,Opuntia,Opuntia tapona,spp 0236,Least Concern,1,74.47,74.47,0.149
Cactaceae,Opuntia,Opuntia tomentosa,spp 0237,Least Concern,1,20.75,20.75,0.042
Cactaceae,Opuntia,Opuntia velutina,spp 0238,Data Deficient,3,44.44,133.32,0.267
Cactaceae,Opuntia,Opuntia wilcoxii,spp 0239,Least Concern,1,62.18,62.18,0.125
Fabaceae,Ormosia,Ormosia arborea,spp 0972,Least Concern,1,16.89,16.89,0.034
Fabaceae,Ormosia,Ormosia fastigiata,spp 0974,Least Concern,1,17.92,17.92,0.036
Cactaceae,Pachycereus,Pachycereus grandis,spp 0241,Vulnerable,3,88.66,265.98,0.533
Cactaceae,Pachycereus,Pachycereus pecten-aboriginum,spp 0244,Vulnerable,3,79.71,239.13,0.479
Cactaceae,Pachycereus,Pachycereus pringlei,spp 0245,Least Concern,1,73.87,73.87,0.148
Cactaceae,Pachycereus,Pachycereus weberi,spp 0247,Least Concern,1,94.77,94.77,0.19
Fabaceae,Parapiptadenia,Parapiptadenia excelsa,spp 0977,Least Concern,1,46.34,46.34,0.093
Fabaceae,Parapiptadenia,Parapiptadenia pterosperma,spp 0978,Least Concern,1,33.5,33.5,0.067
Fabaceae,Parapiptadenia,Parapiptadenia rigida,spp 0979,Least Concern,1,49.35,49.35,0.099
Fabaceae,Parapiptadenia,Parapiptadenia zehntneri,spp 0980,Near Threatened,2,99.99,199.98,0.401
Fabaceae,Parkia,Parkia platycephala,spp 0982,Least Concern,1,29.54,29.54,0.059
Fabaceae,Parkinsonia,Parkinsonia aculeata,spp 0983,Least Concern,1,41.15,41.15,0.082
Fabaceae,Parkinsonia,Parkinsonia florida,spp 0984,Vulnerable,3,19.02,57.06,0.114
Fabaceae,Parkinsonia,Parkinsonia praecox,spp 0985,Least Concern,1,23.24,23.24,0.047
Malvaceae,Pavonia,Pavonia glazioviana,spp 0384,Least Concern,1,99.57,99.57,0.2
Malvaceae,Pavonia,Pavonia luetzelburgii,spp 0385,Least Concern,1,99.84,99.84,0.2
Malvaceae,Pavonia,Pavonia malacophylla,spp 0387,Least Concern,1,27.89,27.89,0.056
Malvaceae,Pavonia,Pavonia malvaviscoides,spp 0388,Least Concern,1,24.74,24.74,0.05
Malvaceae,Pavonia,Pavonia pleuranthera,spp 0389,Vulnerable,3,79.26,237.78,0.477
Fabaceae,Peltogyne,Peltogyne pauciflora,spp 0988,Vulnerable,3,95.53,286.59,0.574
Fabaceae,Peltogyne,Peltogyne purpurea,spp 0989,Vulnerable,3,43.93,131.79,0.264
Fabaceae,Peltophorum,Peltophorum dubium,spp 0990,Endangered,4,57.26,229.04,0.459
Cactaceae,Peniocereus,Peniocereus striatus,spp 0249,Least Concern,1,73.7,73.7,0.148
Cactaceae,Pereskia,Pereskia aculeata,spp 0250,Least Concern,1,41.15,41.15,0.082
Cactaceae,Pereskia,Pereskia bahiensis,spp 0251,Least Concern,1,100,100,0.2
Cactaceae,Pereskia,Pereskia grandifolia,spp 0253,Least Concern,1,41.29,41.29,0.083
Cactaceae,Pereskia,Pereskia nemorosa,spp 0261,Least Concern,1,97.05,97.05,0.194
Cactaceae,Pereskia,Pereskia sacharosa,spp 0262,Least Concern,1,38.35,38.35,0.077
Cactaceae,Pereskia,Pereskia stenantha,spp 0263,Least Concern,1,95.81,95.81,0.192
Cactaceae,Pereskia,Pereskia weberiana,spp 0264,Least Concern,1,67.88,67.88,0.136
Cactaceae,Pilosocereus,Pilosocereus aurisetus,spp 0265,Least Concern,1,14.02,14.02,0.028
Cactaceae,Pilosocereus,Pilosocereus catingicola,spp 0266,Least Concern,1,93.29,93.29,0.187
Cactaceae,Pilosocereus,Pilosocereus pachycladus,spp 0268,Least Concern,1,46.98,46.98,0.094
Cactaceae,Pilosocereus,Pilosocereus pentaedrophorus,spp 0269,Vulnerable,3,99.11,297.33,0.596
Cactaceae,Pilosocereus,Pilosocereus polygonus,spp 0270,Least Concern,1,93.06,93.06,0.186
Cactaceae,Pilosocereus,Pilosocereus purpusii,spp 0271,Near Threatened,2,59.31,118.62,0.238
Cactaceae,Pilosocereus,Pilosocereus royenii,spp 0272,Endangered,4,83.15,332.6,0.667
Cactaceae,Pilosocereus,Pilosocereus tuberculatus,spp 0273,Near Threatened,2,20.01,40.02,0.08
Fabaceae,Piptadenia,Piptadenia gonoacantha,spp 0993,Least Concern,1,28.18,28.18,0.056
Fabaceae,Piptadenia,Piptadenia paniculata,spp 0994,Least Concern,1,21,21,0.042
Fabaceae,Piptadenia,Piptadenia retusa,spp 0992,Least Concern,1,78.3,78.3,0.157
Fabaceae,Piscidia,Piscidia carthagenensis,spp 0998,Least Concern,1,90.77,90.77,0.182
Fabaceae,Piscidia,Piscidia grandifolia,spp 0999,Least Concern,1,59.01,59.01,0.118
Fabaceae,Piscidia,Piscidia piscipula,spp 1000,Least Concern,1,44.54,44.54,0.089
Fabaceae,Pithecellobium,Pithecellobium diversifolium,spp 1002,Endangered,4,96.56,386.24,0.774
Fabaceae,Pithecellobium,Pithecellobium dulce,spp 1003,Least Concern,1,49.27,49.27,0.099
Fabaceae,Pithecellobium,Pithecellobium excelsum,spp 1004,Least Concern,1,87.05,87.05,0.174
Fabaceae,Pithecellobium,Pithecellobium keyense,spp 1006,Least Concern,1,34.3,34.3,0.069
Fabaceae,Pithecellobium,Pithecellobium lanceolatum,spp 1007,Near Threatened,2,48.43,96.86,0.194
Fabaceae,Pithecellobium,Pithecellobium oblongum,spp 1009,Least Concern,1,59.08,59.08,0.118
Fabaceae,Pithecellobium,Pithecellobium roseum,spp 1011,,3,96.89,290.67,0.583
Fabaceae,Pithecellobium,Pithecellobium unguis-cati,spp 1013,Least Concern,1,61.44,61.44,0.123
Fabaceae,Pityrocarpa,Pityrocarpa moniliformis,spp 1014,Least Concern,1,91.08,91.08,0.183
Fabaceae,Pityrocarpa,Pityrocarpa obliqua,spp 1015,Least Concern,1,83.57,83.57,0.167
Fabaceae,Plathymenia,Plathymenia reticulata,spp 1016,Least Concern,1,30.1,30.1,0.06
Fabaceae,Platymiscium,Platymiscium floribundum,spp 1017,Least Concern,1,56.61,56.61,0.113
Fabaceae,Platymiscium,Platymiscium hebestachyum,spp 1018,Least Concern,1,27.43,27.43,0.055
Fabaceae,Platymiscium,Platymiscium lasiocarpum,spp 1019,Vulnerable,3,89.43,268.29,0.538
Fabaceae,Platymiscium,Platymiscium parviflorum,spp 1020,Critically Endangered,5,96.82,484.1,0.97
Fabaceae,Platymiscium,Platymiscium pinnatum,spp 1021,Least Concern,1,19.65,19.65,0.039
Fabaceae,Platymiscium,Platymiscium pubescens,spp 1022,Least Concern,1,50.89,50.89,0.102
Fabaceae,Platymiscium,Platymiscium trifoliolatum,spp 1023,Near Threatened,2,76.2,152.4,0.305
Fabaceae,Platymiscium,Platymiscium yucatanum,spp 1024,Near Threatened,2,38.96,77.92,0.156
Fabaceae,Platypodium,Platypodium elegans,spp 1025,Least Concern,1,32.09,32.09,0.064
Zygophyllaceae,Plectrocarpa,Plectrocarpa arborea,spp 0002,Least Concern,1,94.64,94.64,0.19
Zygophyllaceae,Plectrocarpa,Plectrocarpa bonariensis,spp 0004,Least Concern,1,18.21,18.21,0.036
Zygophyllaceae,Plectrocarpa,Plectrocarpa sarmientoi,spp 0006,Endangered,4,21.2,84.8,0.17
Fabaceae,Poecilanthe,Poecilanthe grandiflora,spp 1026,Least Concern,1,99.61,99.61,0.2
Fabaceae,Poecilanthe,Poecilanthe parviflora,spp 1028,Data Deficient,3,50.38,151.14,0.303
Fabaceae,Poecilanthe,Poecilanthe ulei,spp 1029,Least Concern,1,85.99,85.99,0.172
Fabaceae,Poeppigia,Poeppigia procera,spp 1030,Least Concern,1,40.15,40.15,0.08
Fabaceae,Poincianella,Poincianella bracteosa,spp 1031,,3,79.17,237.51,0.476
Zygophyllaceae,Porliera,Porliera microphylla,spp 0032,Least Concern,1,45.46,45.46,0.091
Malvaceae,Pseudabutilon,Pseudabutilon scabrum,spp 0309,,3,70.83,212.49,0.426
Fabaceae,Pseudalbizzia,Pseudalbizzia adinocephala,spp 0454,Least Concern,1,41.73,41.73,0.084
Fabaceae,Pseudalbizzia,Pseudalbizzia edwallii,spp 0456,Least Concern,1,39.71,39.71,0.08
Fabaceae,Pseudalbizzia,Pseudalbizzia inundata,spp 0457,Least Concern,1,42.4,42.4,0.085
Fabaceae,Pseudalbizzia,Pseudalbizzia niopoides,spp 0460,Least Concern,1,37.64,37.64,0.075
Fabaceae,Pseudalbizzia,Pseudalbizzia sinaloensis,spp 0465,Near Threatened,2,85.89,171.78,0.344
Fabaceae,Pseudalbizzia,Pseudalbizzia tomentosa,spp 0467,Least Concern,1,56.77,56.77,0.114
Malvaceae,Pseudobombax,Pseudobombax campestre,spp 0392,Least Concern,1,52.86,52.86,0.106
Malvaceae,Pseudobombax,Pseudobombax ellipticum,spp 0395,Least Concern,1,47.75,47.75,0.096
Malvaceae,Pseudobombax,Pseudobombax grandiflorum,spp 0393,Least Concern,1,22.09,22.09,0.044
Malvaceae,Pseudobombax,Pseudobombax longiflorum,spp 0396,Least Concern,1,32.29,32.29,0.065
Malvaceae,Pseudobombax,Pseudobombax marginatum,spp 0394,Least Concern,1,41.97,41.97,0.084
Malvaceae,Pseudobombax,Pseudobombax millei,spp 0397,Data Deficient,3,52.79,158.37,0.317
Malvaceae,Pseudobombax,Pseudobombax palmeri,spp 0399,Least Concern,1,65.15,65.15,0.131
Malvaceae,Pseudobombax,Pseudobombax septenatum,spp 0400,Least Concern,1,29.25,29.25,0.059
Malvaceae,Pseudobombax,Pseudobombax simplicifolium,spp 0401,Least Concern,1,100,100,0.2
Malvaceae,Pseudobombax,Pseudobombax tomentosum,spp 0402,Least Concern,1,23.93,23.93,0.048
Fabaceae,Pseudopiptadenia,Pseudopiptadenia brenanii,spp 1046,Vulnerable,3,99.91,299.73,0.601
Fabaceae,Pseudopiptadenia,Pseudopiptadenia contorta,spp 1047,Least Concern,1,44.22,44.22,0.089
Fabaceae,Pseudosamanea,Pseudosamanea guachapele,spp 1050,Least Concern,1,33.65,33.65,0.067
Fabaceae,Pterocarpus,Pterocarpus acapulcensis,spp 1051,Vulnerable,3,62.51,187.53,0.376
Fabaceae,Pterocarpus,Pterocarpus orbiculatus,spp 1053,Least Concern,1,95.86,95.86,0.192
Fabaceae,Pterocarpus,Pterocarpus rohrii,spp 1054,Least Concern,1,14.55,14.55,0.029
Fabaceae,Pterocarpus,Pterocarpus villosus,spp 1055,Least Concern,1,91.8,91.8,0.184
Fabaceae,Pterocereus,Pterocereus gaumeri ,spp 0240,Least Concern,1,97.35,97.35,0.195
Fabaceae,Pterodon,Pterodon abruptus,spp 1056,Least Concern,1,100,100,0.2
Fabaceae,Pterodon,Pterodon emarginatus,spp 1057,Least Concern,1,25.75,25.75,0.052
Fabaceae,Pterodon,Pterodon pubescens,spp 1058,Least Concern,1,12.47,12.47,0.025
Fabaceae,Pterogyne,Pterogyne nitens,spp 1059,Near Threatened,2,60.09,120.18,0.241
Malvaceae,Quararibea,Quararibea asterolepis,spp 0403,Least Concern,1,22.4,22.4,0.045
Malvaceae,Quararibea,Quararibea caldasiana,spp 0404,Least Concern,1,38.07,38.07,0.076
Malvaceae,Quararibea,Quararibea penduliflora,spp 0405,Least Concern,1,28.01,28.01,0.056
Cactaceae,Rhipsalis,Rhipsalis baccifera,spp 0276,Least Concern,1,11.92,11.92,0.024
Fabaceae,Riedeliella,Riedeliella graciliflora,spp 1060,,3,31.29,93.87,0.188
Fabaceae,Samanea,Samanea inopinata,spp 1061,Least Concern,1,59.23,59.23,0.119
Fabaceae,Samanea,Samanea saman,spp 1062,Least Concern,1,25.84,25.84,0.052
Fabaceae,Samanea,Samanea tubulosa,spp 1063,Least Concern,1,24.67,24.67,0.049
Fabaceae,Schizolobium,Schizolobium parahyba,spp 1064,Least Concern,1,13.98,13.98,0.028
Fabaceae,Schnella,Schnella flexuosa,spp 0503,,3,80.54,241.62,0.484
Fabaceae,Schnella,Schnella glabra,spp 0505,Least Concern,1,15.96,15.96,0.032
Fabaceae,Schnella,Schnella herrerae,spp 0506,Least Concern,1,39.1,39.1,0.078
Cactaceae,Selenicereus,Selenicereus costaricensis,spp 0279,Critically Endangered,5,99.8,499,1
Cactaceae,Selenicereus,Selenicereus grandiflorus,spp 0280,Least Concern,1,61.71,61.71,0.124
Cactaceae,Selenicereus,Selenicereus ocamponis,spp 0281,Vulnerable,3,66.62,199.86,0.401
Cactaceae,Selenicereus,Selenicereus pteranthus,spp 0282,Data Deficient,3,71.46,214.38,0.43
Cactaceae,Selenicereus,Selenicereus purpusii,spp 0283,Least Concern,1,71.46,71.46,0.143
Cactaceae,Selenicereus,Selenicereus spinulosus,spp 0284,Least Concern,1,12.57,12.57,0.025
Cactaceae,Selenicereus,Selenicereus triangularis,spp 0285,,3,13.44,40.32,0.081
Cactaceae,Selenicereus,Selenicereus undatus,spp 0286,,3,34.45,103.35,0.207
Cactaceae,Selenicereus,Selenicereus vagans,spp 0287,Least Concern,1,95.55,95.55,0.191
Fabaceae,Senegalia,Senegalia bahiensis,spp 1065,Least Concern,1,97.29,97.29,0.195
Fabaceae,Senegalia,Senegalia bonariensis,spp 1066,Least Concern,1,41.43,41.43,0.083
Fabaceae,Senegalia,Senegalia gaumeri,spp 1067,Least Concern,1,57.33,57.33,0.115
Fabaceae,Senegalia,Senegalia giganticarpa,spp 1068,Least Concern,1,38.13,38.13,0.076
Fabaceae,Senegalia,Senegalia gilliesii,spp 1069,Least Concern,1,12.59,12.59,0.025
Fabaceae,Senegalia,Senegalia globosa,spp 1070,,3,94.88,284.64,0.57
Fabaceae,Senegalia,Senegalia langsdorffii,spp 1071,,3,89.92,269.76,0.541
Fabaceae,Senegalia,Senegalia lasiophylla,spp 1072,Least Concern,1,95.61,95.61,0.192
Fabaceae,Senegalia,Senegalia loretensis,spp 1073,Least Concern,1,24.1,24.1,0.048
Fabaceae,Senegalia,Senegalia macilenta,spp 0441,Least Concern,1,84.13,84.13,0.169
Fabaceae,Senegalia,Senegalia martii,spp 1074,Least Concern,1,29.46,29.46,0.059
Fabaceae,Senegalia,Senegalia monacantha,spp 1075,,3,59.51,178.53,0.358
Fabaceae,Senegalia,Senegalia nitidifolia,spp 1077,,3,83.15,249.45,0.5
Fabaceae,Senegalia,Senegalia paganuccii,spp 1078,Least Concern,1,91.69,91.69,0.184
Fabaceae,Senegalia,Senegalia parviceps,spp 1079,Least Concern,1,52.36,52.36,0.105
Fabaceae,Senegalia,Senegalia piauhiensis,spp 1080,Least Concern,1,98.23,98.23,0.197
Fabaceae,Senegalia,Senegalia picachensis,spp 1081,Least Concern,1,89.07,89.07,0.178
Fabaceae,Senegalia,Senegalia polyphylla,spp 1082,Least Concern,1,28.18,28.18,0.056
Fabaceae,Senegalia,Senegalia praecox,spp 1083,Least Concern,1,28.68,28.68,0.057
Fabaceae,Senegalia,Senegalia riparia,spp 1084,Least Concern,1,38.69,38.69,0.078
Fabaceae,Senegalia,Senegalia tenuifolia,spp 1085,Least Concern,1,46.66,46.66,0.094
Fabaceae,Senna,Senna biglandularis,spp 1095,Least Concern,1,38.47,38.47,0.077
Fabaceae,Senna,Senna cana,spp 1096,Least Concern,1,65.27,65.27,0.131
Fabaceae,Senna,Senna catingae,spp 1097,,3,99.61,298.83,0.599
Fabaceae,Senna,Senna centranthera,spp 1098,Least Concern,1,65.32,65.32,0.131
Fabaceae,Senna,Senna corifolia,spp 1099,,3,19.95,59.85,0.12
Fabaceae,Senna,Senna corymbosa,spp 1100,Least Concern,1,15.67,15.67,0.031
Fabaceae,Senna,Senna fruticosa,spp 1101,Least Concern,1,46.15,46.15,0.092
Fabaceae,Senna,Senna gardneri,spp 1102,Least Concern,1,83.57,83.57,0.167
Fabaceae,Senna,Senna georgica,spp 1103,Least Concern,1,34.97,34.97,0.07
Fabaceae,Senna,Senna holwayana,spp 1104,Least Concern,1,65.29,65.29,0.131
Fabaceae,Senna,Senna incarnata,spp 1105,,3,53.69,161.07,0.323
Fabaceae,Senna,Senna macranthera,spp 1108,Least Concern,1,58.13,58.13,0.116
Fabaceae,Senna,Senna martiana,spp 1109,Least Concern,1,96.84,96.84,0.194
Fabaceae,Senna,Senna mollissima,spp 1110,Least Concern,1,85.15,85.15,0.171
Fabaceae,Senna,Senna morongii,spp 1112,,3,22.3,66.9,0.134
Fabaceae,Senna,Senna multiglandulosa,spp 1113,Least Concern,1,32.99,32.99,0.066
Fabaceae,Senna,Senna multijuga,spp 1114,Least Concern,1,12.03,12.03,0.024
Fabaceae,Senna,Senna nicaraguensis,spp 1115,Least Concern,1,76.49,76.49,0.153
Fabaceae,Senna,Senna oblongifolia,spp 1116,,3,33.2,99.6,0.2
Fabaceae,Senna,Senna oxyphylla,spp 1117,Least Concern,1,43.24,43.24,0.087
Fabaceae,Senna,Senna pallida,spp 1118,Least Concern,1,58.74,58.74,0.118
Fabaceae,Senna,Senna polyantha,spp 1122,Least Concern,1,24.3,24.3,0.049
Fabaceae,Senna,Senna quinquangulata,spp 1226,Least Concern,1,14.24,14.24,0.029
Fabaceae,Senna,Senna racemosa,spp 1123,Least Concern,1,59.62,59.62,0.119
Fabaceae,Senna,Senna reniformis,spp 1125,Least Concern,1,12.66,12.66,0.025
Fabaceae,Senna,Senna reticulata,spp 1126,Least Concern,1,12.18,12.18,0.024
Fabaceae,Senna,Senna rizzinii,spp 1127,,3,95.51,286.53,0.574
Fabaceae,Senna,Senna robiniifolia,spp 1128,Least Concern,1,58.43,58.43,0.117
Fabaceae,Senna,Senna rugosa,spp 1129,Least Concern,1,36.26,36.26,0.073
Fabaceae,Senna,Senna septemtrionalis,spp 1130,Least Concern,1,24.11,24.11,0.048
Fabaceae,Senna,Senna siamea,spp 1131,,3,19.13,57.39,0.115
Fabaceae,Senna,Senna silvestris,spp 1132,Least Concern,1,13.62,13.62,0.027
Fabaceae,Senna,Senna skinneri,spp 1133,Least Concern,1,93.42,93.42,0.187
Fabaceae,Senna,Senna spectabilis,spp 1134,Least Concern,1,35.38,35.38,0.071
Fabaceae,Senna,Senna splendida,spp 1135,,3,60.66,181.98,0.365
Fabaceae,Senna,Senna trachypus,spp 1136,Least Concern,1,83.31,83.31,0.167
Fabaceae,Senna,Senna undulata,spp 1137,Least Concern,1,14.21,14.21,0.028
Fabaceae,Senna,Senna velutina,spp 1138,,3,22.22,66.66,0.134
Fabaceae,Senna,Senna villosa,spp 1139,,3,68.9,206.7,0.414
Fabaceae,Senna,Senna wislizeni,spp 1140,Least Concern,1,22.84,22.84,0.046
Fabaceae,Sesbania,Sesbania punicea,spp 1142,Least Concern,1,29.11,29.11,0.058
Cactaceae,Stenocereus,Stenocereus alamosensis,spp 0289,Vulnerable,3,89.41,268.23,0.538
Cactaceae,Stenocereus,Stenocereus beneckei,spp 0290,Near Threatened,2,98.42,196.84,0.394
Cactaceae,Stenocereus,Stenocereus griseus,spp 0291,Least Concern,1,47.47,47.47,0.095
Cactaceae,Stenocereus,Stenocereus kerberi,spp 0294,Least Concern,1,86.27,86.27,0.173
Cactaceae,Stenocereus,Stenocereus montanus,spp 0295,Least Concern,1,83.83,83.83,0.168
Cactaceae,Stenocereus,Stenocereus pruinosus,spp 0296,Least Concern,1,65.85,65.85,0.132
Cactaceae,Stenocereus,Stenocereus queretaroensis,spp 0297,Least Concern,1,28.8,28.8,0.058
Cactaceae,Stenocereus,Stenocereus standleyi,spp 0298,Least Concern,1,88.09,88.09,0.177
Cactaceae,Stenocereus,Stenocereus stellatus,spp 0299,Least Concern,1,73.76,73.76,0.148
Cactaceae,Stenocereus,Stenocereus thurberi,spp 0300,Vulnerable,3,41.78,125.34,0.251
Cactaceae,Stenocereus,Stenocereus treleasei,spp 0301,Least Concern,1,71.83,71.83,0.144
Malvaceae,Sterculia,Sterculia apetala,spp 0410,Least Concern,1,10.5,10.5,0.021
Malvaceae,Sterculia,Sterculia striata,spp 0414,Least Concern,1,30.2,30.2,0.061
Cactaceae,Stetsonia,Stetsonia coryne,spp 0302,Least Concern,1,10.32,10.32,0.021
Fabaceae,Stryphnodendron,Stryphnodendron adstringens,spp 1144,Least Concern,1,25.19,25.19,0.05
Fabaceae,Stryphnodendron,Stryphnodendron polyphyllum,spp 1147,Least Concern,1,12.63,12.63,0.025
Fabaceae,Stryphnodendron,Stryphnodendron pulcherrimum,spp 1148,Least Concern,1,10.48,10.48,0.021
Fabaceae,Stryphnodendron,Stryphnodendron rotundifolium,spp 1149,Least Concern,1,30.97,30.97,0.062
Fabaceae,Swartzia,Swartzia acutifolia,spp 1151,Least Concern,1,94.7,94.7,0.19
Fabaceae,Swartzia,Swartzia apetala,spp 1152,Least Concern,1,48.21,48.21,0.097
Fabaceae,Swartzia,Swartzia bahiensis,spp 1155,Vulnerable,3,73.7,221.1,0.443
Fabaceae,Swartzia,Swartzia flaemingii,spp 1157,,3,30.46,91.38,0.183
Fabaceae,Swartzia,Swartzia haughtii,spp 1158,Least Concern,1,17.23,17.23,0.035
Fabaceae,Swartzia,Swartzia jorori,spp 1159,Least Concern,1,13.95,13.95,0.028
Fabaceae,Swartzia,Swartzia littlei,spp 1161,Endangered,4,42.8,171.2,0.343
Fabaceae,Swartzia,Swartzia macrophylla,spp 1162,Least Concern,1,12.07,12.07,0.024
Fabaceae,Swartzia,Swartzia macrostachya,spp 1163,Least Concern,1,51.91,51.91,0.104
Fabaceae,Swartzia,Swartzia multijuga,spp 1165,Near Threatened,2,18.5,37,0.074
Fabaceae,Swartzia,Swartzia myrtifolia,spp 1167,Least Concern,1,12.53,12.53,0.025
Fabaceae,Swartzia,Swartzia oblata,spp 1168,Least Concern,1,20.68,20.68,0.041
Fabaceae,Swartzia,Swartzia parvipetala,spp 1169,Least Concern,1,12.55,12.55,0.025
Fabaceae,Swartzia,Swartzia psilonema,spp 1171,Least Concern,1,69.52,69.52,0.139
Fabaceae,Swartzia,Swartzia robiniifolia,spp 1172,Least Concern,1,34.15,34.15,0.068
Fabaceae,Swartzia,Swartzia simplex,spp 1173,Least Concern,1,16.84,16.84,0.034
Fabaceae,Sweetia,Sweetia fruticosa,spp 1176,Endangered,4,45.55,182.2,0.365
Fabaceae,Tachigali,Tachigali aurea,spp 1177,Least Concern,1,26.64,26.64,0.053
Fabaceae,Tachigali,Tachigali densiflora,spp 1179,Near Threatened,2,32.01,64.02,0.128
Fabaceae,Tachigali,Tachigali paratyensis,spp 1182,Least Concern,1,10.26,10.26,0.021
Fabaceae,Tachigali,Tachigali peruviana,spp 1183,,3,22.29,66.87,0.134
Fabaceae,Tachigali,Tachigali rubiginosa,spp 1184,Least Concern,1,13.21,13.21,0.026
Fabaceae,Tachigali,Tachigali rugosa,spp 1185,Near Threatened,2,23.78,47.56,0.095
Fabaceae,Tachigali,Tachigali subvelutina,spp 1186,Least Concern,1,30.13,30.13,0.06
Fabaceae,Tachigali,Tachigali vulgaris,spp 1187,Least Concern,1,16.82,16.82,0.034
Cactaceae,Tacinga,Tacinga palmadora,spp 0303,Least Concern,1,99.8,99.8,0.2
Fabaceae,Tara,Tara spinosa,spp 1188,Least Concern,1,31.56,31.56,0.063
Malvaceae,Thespesia,Thespesia populnea,spp 0423,Least Concern,1,48.37,48.37,0.097
Fabaceae,Tipuana,Tipuana tipu,spp 1189,Least Concern,1,30.57,30.57,0.061
Fabaceae,Trischidium,Trischidium decipiens,spp 1190,Least Concern,1,69.69,69.69,0.14
Fabaceae,Trischidium,Trischidium molle,spp 1191,Least Concern,1,80.93,80.93,0.162
Malvaceae,Triumfetta,Triumfetta abutiloides,spp 0425,Least Concern,1,34.99,34.99,0.07
Fabaceae,Uribea,Uribea tamarindoides,spp 1192,Near Threatened,2,48.95,97.9,0.196
Fabaceae,Vachellia,Vachellia albicorticata,spp 1193,Least Concern,1,45.28,45.28,0.091
Fabaceae,Vachellia,Vachellia aroma,spp 1194,Least Concern,1,25.77,25.77,0.052
Fabaceae,Vachellia,Vachellia brandegeeana,spp 1195,Least Concern,1,72.16,72.16,0.145
